movieId,title,genres
1001,Kaithi (2019),Action|Thriller
1002,Vikram (2022),Action|Crime|Thriller
1003,96 (2018),Romance|Drama
1004,Soorarai Pottru (2020),Drama|Biography|Inspiration
1005,Master (2021),Action|Drama
1006,Asuran (2019),Action|Drama|Thriller
1007,Maanaadu (2021),Sci-Fi|Action|Thriller
1008,Doctor (2021),Comedy|Action|Thriller
1009,Super Deluxe (2019),Drama|Thriller
1010,Jai Bhim (2021),Drama|Courtroom|Social
1011,Love Today (2022),Romance|Drama|Comedy
1012,Karnan (2021),Action|Drama
1013,Tughlaq Durbar (2021),Drama|Politics
1014,Don (2022),Comedy|Drama|College
1015,Mandela (2021),Comedy|Politics|Drama
1016,Vada Chennai (2018),Action|Crime|Drama
1017,Theri (2016),Action|Drama
1018,Bigil (2019),Action|Sports|Drama
1019,Thuppakki (2012),Action|Thriller
1020,Petta (2019),Action|Drama
